Number;Category;Name;Details_type;Details_2_number_of_employees/students;Details_working_hours;Latitude;Longitude
1;Bank;Hayot bank;BXO;;;41.011348;70.085857
2;Bank;Anorbank;Sotuv ofisi;;;41.008369;70.059046
3;Bank;Kapitalbank;BXO;;;41.016018;70.082322
4;Bank;Kapitalbank;BXO;;;41.014644;70.083176
5;Bank;Xalq banki;BXM;;;40.995694;70.065365
6;Bank;Milliy bank;BXM;;;40.997488;70.070689
7;Bank;Hamkorbank;Universal BXO;;;41.015655;70.082913
8;Bank;Ipoteka bank;Filial;;;40.994492;70.055262
9;Bank;Ipoteka bank;BXM;;;41.005803;70.076710
10;Bank;Sanoatqurilishbank;BXM;;;40.908947;69.808218
11;Bank;Agrobank;BXM;;;41.008417;70.088302
12;Bank;Hamkorbank;Omad BXM;;;41.016672;70.081882
13;Bank;Hamkorbank;Markaz BXO;;;41.009659;70.087208
14;Microfinance organizations;Zamin;Mikromoliya tashkiloti;;;41.009802;70.087657
15;Microfinance organizations;Delta;Mikromoliya tashkiloti;;;41.000057;70.061993
16;Microfinance organizations;Delta;Mikromoliya tashkiloti;;;41.008151;70.076779
17;Microfinance organizations;Agat;Mikromoliya tashkiloti;;;41.008418;70.053167
18;Pawnshop;Hurma;Lombard;;;41.017417;70.081364
19;Pawnshop;Tip-top;Lombard;;;41.009556;70.087993
20;Insurance;Kafolat;Sug'urta;;;41.009641;70.079745
21;Insurance;Kapitalbank;Sug'urta;;;41.006507;70.076082
22;Insurance;Trust;Sug'urta;;;41.011017;70.088042
23;Installment;Ishonch;Nasiya savdo;;;41.010005;70.080706
24;Installment;Imkon;Nasiya savdo;;;41.014841;70.082478
25;Installment;Garant;Nasiya savdo;;;41.011481;70.076275
26;Installment;Idea;Nasiya savdo;;;41.017480;70.082084
27;ATM;Sanoatqurilishbank;Uzcard;;;41.02149;70.17607
28;ATM;Sanoatqurilishbank;Uzcard;;;41.02215;70.18451
29;ATM;Sanoatqurilishbank;Uzcard;;24/7;40.996361;70.062251
30;ATM;Sanoatqurilishbank;Uzcard;;24/7;41.006025;70.076754
31;ATM;Sanoatqurilishbank;Uzcard;;;41.00863;70.07462
32;ATM;Sanoatqurilishbank;Humo;;;41.006025;70.076754
33;ATM;Sanoatqurilishbank;Uzcard;;24/7;41.01821;70.08131
34;ATM;Sanoatqurilishbank;Uzcard;;24/7;41.012100;70.084127
35;ATM;Sanoatqurilishbank;Uzcard;;;41.006025;70.076754
36;ATM;Sanoatqurilishbank;Uzcard;;24/7;41.01265;70.10278
37;ATM;Agrobank;Humo;;24/7;40.903740;69.639432
38;ATM;Hamkorbank;Humo;;;41.0182779;70.0823594
39;ATM;Hamkorbank;Uzcard;;24/7;40.997526;70.0700519
40;ATM;Hamkorbank;Uzcard;;;40.997526;70.0700519
41;ATM;Hamkorbank;Humo;;24/7;40.9901304;70.0538599
42;ATM;Hamkorbank;Humo;;24/7;41.0181597;70.0827896
43;ATM;Hamkorbank;Humo;;24/7;41.0170712;70.0821361
44;ATM;Hamkorbank;Uzcard;;24/7;41.0083388;70.0881869
45;ATM;Hamkorbank;ADM;;;40.997526;70.0700519
46;ATM;Hamkorbank;Uzcard;;24/7;41.0182779;70.0823594
47;ATM;Hamkorbank;Uzcard;;24/7;41.016546;70.0800480
48;ATM;Hamkorbank;Uzcard;;;41.0078009;70.0896423
49;ATM;Ipoteka bank;Uzcard;;;40.9724890;70.0406524
50;ATM;Ipoteka bank;Humo;;24/7;41.034185;70.068324
51;ATM;Ipoteka bank;Humo;;24/7;41.015739;70.082447
52;ATM;Ipoteka bank;Humo;;;40.996353;70.062203
53;ATM;Ipoteka bank;Humo;;24/7;41.007603;70.088851
54;ATM;Ipoteka bank;Humo;;24/7;41.018591;70.082709
55;ATM;Ipoteka bank;Humo;;;41.015227;70.091149
56;ATM;Ipoteka bank;Humo;;;40.99041;70.10285
57;ATM;Ipoteka bank;Humo;;;41.02681;70.08031
58;ATM;Ipoteka bank;Humo;;;41.015739;70.082447
59;ATM;Ipoteka bank;Uzcard;;;41.011748;70.085508
60;ATM;Ipoteka bank;Uzcard;;;41.015739;70.082447
61;ATM;Ipoteka bank;Uzcard;;24/7;40.98973;70.07486
62;ATM;Ipoteka bank;Uzcard;;;41.03354;70.07994
63;ATM;Ipoteka bank;Uzcard;;;41.015739;70.082447
64;ATM;Ipoteka bank;Uzcard;;24/7;40.994544;70.055235
65;ATM;Ipoteka bank;Uzcard;;;41.001960;70.121505
66;ATM;Ipoteka bank;Uzcard;;24/7;41.01084;70.07667
67;ATM;Milliy bank ;Humo;;24/7;41.040865;70.092424
68;ATM;Milliy bank ;Humo;;24/7;41.018603;70.082619
69;ATM;Milliy bank ;Uzcard;;;41.018603;70.082645
70;ATM;Milliy bank ;Humo;;24/7;41.018551;70.082930
71;ATM;Milliy bank ;Humo;;;41.018551;70.082930
72;ATM;Milliy bank ;Uzcard;;;40.994338;70.058417
73;ATM;Milliy bank ;Uzcard;;24/7;40.995517;70.065361
74;ATM;Milliy bank ;Uzcard;;;40.979093;70.007804
75;ATM;Milliy bank ;ADM;;;40.995517;70.065361
76;ATM; Xalq banki;Humo;;24/7;41.023374;70.067323
77;ATM; Xalq banki;Humo;;24/7;41.017593;70.081219
78;ATM; Xalq banki;Humo;;24/7;41.017546;70.060150
79;ATM; Xalq banki;Humo;;24/7;41.011215;70.065331
